0122_z10um_100step_sqrt_TW_freq 	 0122_z10um_100step_amp 	 0122_z10um_100step_amp_sigma 	 0122_z10um_100step_theta 	 0122_z10um_100step_theta_sigma 	 0122_z10um_100step_DCV 	 0122_z10um_100step_DCV_sigma 	 0122_z10um_100step_decay_ratio 
1.63087257E+1	1.63904015E-6	4.53271223E-9	-1.68398308E+0	1.04181529E-2	0.00000000E+0	0.00000000E+0	-1.05296995E+1
1.65061517E+1	1.59160870E-6	1.08241641E-8	-1.68872916E+0	2.46704533E-3	0.00000000E+0	0.00000000E+0	-1.05470322E+1
1.67035776E+1	1.44781668E-6	2.68013951E-9	-1.75456431E+0	6.40085309E-3	0.00000000E+0	0.00000000E+0	-1.06298310E+1
1.69010035E+1	1.36615443E-6	6.59202514E-9	-1.60741482E+0	5.65815516E-3	0.00000000E+0	0.00000000E+0	-1.06761377E+1
1.70984295E+1	1.49202749E-6	6.17346143E-9	-1.70066853E+0	9.75970345E-4	0.00000000E+0	0.00000000E+0	-1.05763880E+1
1.73535905E+1	1.35959494E-6	5.63819392E-9	-1.73884614E+0	6.08211331E-3	0.00000000E+0	0.00000000E+0	-1.06545243E+1
1.75510165E+1	1.21456877E-6	9.03436104E-9	-1.74613564E+0	8.45101857E-3	0.00000000E+0	0.00000000E+0	-1.07560096E+1
1.77484424E+1	1.12551127E-6	3.66056952E-9	-1.79849115E+0	2.28149398E-3	0.00000000E+0	0.00000000E+0	-1.08209754E+1
1.79458684E+1	1.17376441E-6	1.06662408E-8	-1.72309478E+0	1.49842432E-3	0.00000000E+0	0.00000000E+0	-1.07679346E+1
1.81432943E+1	1.13827265E-6	2.09193974E-8	-1.72036795E+0	6.91153236E-3	0.00000000E+0	0.00000000E+0	-1.07876976E+1
1.83407202E+1	9.88228545E-7	3.32362187E-9	-1.84324877E+0	5.43801192E-3	0.00000000E+0	0.00000000E+0	-1.09182281E+1
1.85381462E+1	9.22465403E-7	6.21707425E-9	-1.78434165E+0	5.67393496E-3	0.00000000E+0	0.00000000E+0	-1.09763854E+1
1.87890244E+1	9.56930660E-7	2.96977774E-9	-2.00895558E+0	3.76227570E-3	0.00000000E+0	0.00000000E+0	-1.09262620E+1
1.89864504E+1	9.48685323E-7	3.66545735E-9	-2.05926736E+0	2.29799489E-3	0.00000000E+0	0.00000000E+0	-1.09244631E+1
1.91838763E+1	9.83601041E-7	2.04289168E-8	-1.85029249E+0	1.18907197E-2	0.00000000E+0	0.00000000E+0	-1.08779753E+1
1.93813022E+1	8.81128212E-7	8.17741940E-9	-1.92770987E+0	1.20746324E-2	0.00000000E+0	0.00000000E+0	-1.09777539E+1
1.95787282E+1	9.23847787E-7	7.01631987E-9	-1.96472184E+0	6.50170272E-3	0.00000000E+0	0.00000000E+0	-1.09202748E+1
