R3_zm3_80step_20to300_sqrt_TW_freq 	 R3_zm3_80step_20to300_amp 	 R3_zm3_80step_20to300_amp_sigma 	 R3_zm3_80step_20to300_theta 	 R3_zm3_80step_20to300_theta_sigma 	 R3_zm3_80step_20to300_DCV 	 R3_zm3_80step_20to300_DCV_sigma 	 R3_zm3_80step_20to300_decay_ratio 
1.11145482E+1	2.16487692E-4	6.56954696E-9	2.47257178E+0	1.53474179E-4	0.00000000E+0	0.00000000E+0	-6.02972196E+0
1.12706698E+1	2.09447062E-4	2.97722628E-8	2.45466868E+0	1.45337773E-5	0.00000000E+0	0.00000000E+0	-6.04883578E+0
1.14267913E+1	2.01774316E-4	5.14755459E-8	2.43047692E+0	2.89268873E-4	0.00000000E+0	0.00000000E+0	-6.07240002E+0
1.15829128E+1	1.94402724E-4	3.79886680E-8	2.40911037E+0	1.75244348E-4	0.00000000E+0	0.00000000E+0	-6.09604767E+0
1.17390344E+1	1.86880873E-4	2.83932501E-8	2.38927746E+0	9.80210601E-5	0.00000000E+0	0.00000000E+0	-6.12211963E+0
1.18951559E+1	1.81224581E-4	4.33686937E-8	2.36527718E+0	6.33016659E-5	0.00000000E+0	0.00000000E+0	-6.13964227E+0
1.20512774E+1	1.74770085E-4	6.01070902E-8	2.34739740E+0	3.66366091E-4	0.00000000E+0	0.00000000E+0	-6.16286858E+0
1.22890490E+1	1.65949086E-4	9.04151267E-8	2.31134572E+0	3.68015162E-4	0.00000000E+0	0.00000000E+0	-6.19512098E+0
1.24451706E+1	1.59804997E-4	6.08017520E-9	2.28751032E+0	7.79474047E-5	0.00000000E+0	0.00000000E+0	-6.22022361E+0
1.26012921E+1	1.54821331E-4	1.66498601E-8	2.27064068E+0	8.58721559E-5	0.00000000E+0	0.00000000E+0	-6.23943945E+0
1.27574136E+1	1.49400907E-4	1.59926285E-8	2.24646137E+0	2.69011805E-4	0.00000000E+0	0.00000000E+0	-6.26276465E+0
1.29135352E+1	1.45259639E-4	2.32640237E-8	2.22711320E+0	2.34762558E-4	0.00000000E+0	0.00000000E+0	-6.27871180E+0
1.30696567E+1	1.40120583E-4	7.57907918E-9	2.21010027E+0	3.38912410E-4	0.00000000E+0	0.00000000E+0	-6.30271394E+0
1.32257782E+1	1.35115572E-4	2.24272525E-8	2.18183516E+0	2.07230127E-4	0.00000000E+0	0.00000000E+0	-6.32721224E+0
1.33818997E+1	1.30999520E-4	2.56783881E-8	2.16665309E+0	1.61441613E-4	0.00000000E+0	0.00000000E+0	-6.34641387E+0
1.35380213E+1	1.26592052E-4	2.17934754E-8	2.14116865E+0	3.66258868E-4	0.00000000E+0	0.00000000E+0	-6.36903871E+0
1.36941428E+1	1.21828503E-4	6.20053964E-8	2.11554894E+0	3.18781799E-4	0.00000000E+0	0.00000000E+0	-6.39592801E+0
1.38502643E+1	1.18990578E-4	4.86050626E-8	2.09671664E+0	3.50845820E-4	0.00000000E+0	0.00000000E+0	-6.40816193E+0
1.40063858E+1	1.14806380E-4	5.36748335E-8	2.07604337E+0	5.49695118E-4	0.00000000E+0	0.00000000E+0	-6.43275014E+0
1.42332183E+1	1.09146924E-4	2.45381502E-8	2.03905062E+0	3.41471479E-4	0.00000000E+0	0.00000000E+0	-6.46723711E+0
1.43893398E+1	1.04958495E-4	7.63482606E-8	2.02689820E+0	1.25007612E-4	0.00000000E+0	0.00000000E+0	-6.49545793E+0
1.45454613E+1	1.00999300E-4	1.99733134E-8	2.00889451E+0	4.38696466E-5	0.00000000E+0	0.00000000E+0	-6.52311796E+0
1.47015829E+1	9.95883538E-5	2.31847435E-8	1.98414932E+0	3.04468129E-4	0.00000000E+0	0.00000000E+0	-6.52651016E+0
1.48577044E+1	9.55012265E-5	7.25718255E-8	1.96021448E+0	3.13525246E-4	0.00000000E+0	0.00000000E+0	-6.55785292E+0
1.50138259E+1	9.37759131E-5	2.89251382E-8	1.94271279E+0	2.18547497E-4	0.00000000E+0	0.00000000E+0	-6.56563102E+0
1.51699474E+1	8.92674867E-5	4.97395510E-8	1.92144182E+0	2.87690523E-4	0.00000000E+0	0.00000000E+0	-6.60455690E+0
1.53260690E+1	8.76346753E-5	2.04147858E-8	1.90412023E+0	4.06156652E-4	0.00000000E+0	0.00000000E+0	-6.61277857E+0
1.54821905E+1	8.52887692E-5	4.92352978E-8	1.87838176E+0	5.56734503E-4	0.00000000E+0	0.00000000E+0	-6.62977741E+0
1.56383120E+1	8.15630604E-5	9.71828686E-9	1.85438759E+0	1.67504388E-4	0.00000000E+0	0.00000000E+0	-6.66441029E+0
1.58576792E+1	7.89833068E-5	4.62700944E-8	1.81440853E+0	1.02328415E-3	0.00000000E+0	0.00000000E+0	-6.68262016E+0
1.60138008E+1	7.60440292E-5	2.11118562E-8	1.81184615E+0	1.04709537E-3	0.00000000E+0	0.00000000E+0	-6.71074716E+0
1.61699223E+1	7.35711670E-5	1.48436872E-8	1.77810717E+0	3.99138535E-4	0.00000000E+0	0.00000000E+0	-6.73410449E+0
1.63260438E+1	7.12544129E-5	6.58964606E-8	1.75730227E+0	3.20098511E-4	0.00000000E+0	0.00000000E+0	-6.75649219E+0
1.64821653E+1	6.94724219E-5	3.68300233E-9	1.74087127E+0	1.04475711E-3	0.00000000E+0	0.00000000E+0	-6.77230178E+0
1.66382869E+1	6.71872748E-5	6.33445550E-9	1.72231702E+0	1.89456467E-4	0.00000000E+0	0.00000000E+0	-6.79632021E+0
1.67944084E+1	6.52325351E-5	5.36174983E-8	1.69490714E+0	1.47761574E-4	0.00000000E+0	0.00000000E+0	-6.81650621E+0
1.69505299E+1	6.30894681E-5	3.65385884E-8	1.67410263E+0	7.79948517E-5	0.00000000E+0	0.00000000E+0	-6.84065761E+0
1.71066514E+1	6.12147308E-5	2.17935975E-9	1.65812182E+0	1.24500197E-3	0.00000000E+0	0.00000000E+0	-6.86165534E+0
1.72627730E+1	5.91999185E-5	4.34267489E-8	1.64110713E+0	7.16584364E-4	0.00000000E+0	0.00000000E+0	-6.88603806E+0


---------------------------------sample information------------------------------------
ÉTÉìÉvÉãñº	R3_zm3_80step_20to300
ééóøå˙	2.65000000E+1
îMägéUó¶(à ëä)	1.03725067E-7
îMägéUó¶(êUïù)	1.14704392E-7
ÉqÅ[É^Å[àÛâ¡ìdà≥	5.00000000E+0
êÿï–	-2.16491609E+0
Y position	0.00000000E+0
