z_position,alpha,alpha_upper,alpha_lower
-3.0,1.196843241488689e-07,1.2658066761197145e-07,1.1333659093385437e-07
-2.0,1.2524649547405774e-07,1.3677330618306124e-07,1.1511773840386229e-07
-1.0,1.1834341733507413e-07,1.4315155358244688e-07,9.946680668153524e-08
0.0,1.1409019867845583e-07,1.337577730754528e-07,9.846182678685495e-08
1.0,1.0123533407768336e-07,1.0799968323717389e-07,9.508714777256701e-08
2.0,7.793340615356904e-08,8.984340755137681e-08,6.824373558923225e-08
3.0,8.217716060769178e-08,1.1622324703298155e-07,6.11627687010863e-08
