z_position,alpha,alpha_upper,alpha_lower
-3.0,1.0089810191020387e-07,1.1087448242793492e-07,9.221005059636535e-08
-2.0,9.746455146660016e-08,1.0662490765619047e-07,8.943589213382808e-08
-1.0,1.0333687404398499e-07,1.1905120089173083e-07,9.054034222995851e-08
0.0,9.001529497923842e-08,1.0237232971709246e-07,7.976771387052868e-08
1.0,9.799338280133781e-08,1.1726288777821763e-07,8.311092592428647e-08
2.0,7.078853668160673e-08,9.665039420480676e-08,5.407170617157948e-08
