z_position,alpha,alpha_upper,alpha_lower
-1.0,1.1039759881943193e-07,1.2944105361561167e-07,9.526719717482805e-08
0.0,1.0405428523029836e-07,1.3463119827969892e-07,8.282392346634222e-08
1.0,9.041477161928957e-08,1.0454822025876128e-07,7.896494376082581e-08
2.0,7.972021374693914e-08,1.2692444492243196e-07,5.467771381225065e-08
3.0,6.324440673523741e-08,7.757584214378448e-08,5.254641878512018e-08
