z_position,alpha,alpha_upper,alpha_lower
-6.0,8.084892738112779e-08,1.0548793347067204e-07,6.393277581976852e-08
-5.0,9.48571329214883e-08,1.5110648797484505e-07,6.503645004462404e-08
-4.0,1.0024599700218685e-07,1.5414576348358746e-07,7.036758822092042e-08
-3.0,9.994453004563627e-08,1.3077879225354314e-07,7.88563410754482e-08
-2.0,1.0606513105769273e-07,1.6534209939204514e-07,7.377064835149842e-08
-1.0,8.179822960241776e-08,1.1810834401877466e-07,5.998084678623522e-08
0.0,8.118207485243042e-08,1.5165191924549602e-07,5.046439635475708e-08
1.0,4.943713166045024e-08,7.792150304039063e-08,3.413321637624137e-08
