z,thermal_diffusivity
-3.0,1.0089810191020387e-07
-2.0,9.746455146660017e-08
-1.0,1.03336874043985e-07
0.0,9.001529497923843e-08
1.0,9.79933828013378e-08
2.0,7.078853668160675e-08
