sqrt_TW_freq,theta,theta_sigma,amp,amp_sigma
8.48528998699018,2.926594263159492,0.45956945452758213,3.8662829701102104e-05,1.0444612772048986e-05
11.313395090665756,2.8052319787921354,0.10419187209892053,2.980043382175e-05,6.813691600066732e-06
14.35251298222719,2.229232770488349,0.04358430890441682,1.09660827548e-05,1.780450568777186e-06
16.97082619232193,1.911524219336135,0.0829578982124876,8.354771125600001e-06,5.582287486000006e-07
19.799127311576132,1.6913754266697947,0.035950580016159236,4.987539189933334e-06,9.030971704288403e-07
22.62722345892222,1.6575926083057275,0.0,4.3084187382e-06,0.0
25.456107267543217,1.6932528970648884,0.3559925538175917,1.7570938742500002e-06,4.163246280223204e-07
28.39017890574133,-3.01972613585779,0.0,7.0659814355e-07,0.0
31.113116220976647,0.6241480204459858,0.0,5.3739540817e-07,0.0
33.940620660205965,1.113365962983816,0.9588942857158593,1.2953844266980002e-06,6.996746313408409e-07
