sqrt_TW_freq,theta,theta_sigma,amp,amp_sigma
8.485225702743563,3.0376293952807263,0.8641411208989339,2.7002095066599998e-05,1.7475695661280027e-05
11.313486602060392,2.6492900518077893,0.12175987264242598,2.4945720542699998e-05,6.514140431867792e-06
14.353067401256082,2.306585990942396,0.11235808940492942,1.3637524262e-05,2.946627774e-06
16.970742124462323,2.13772133786981,0.1624443548660789,7.2523982908e-06,3.380325778999999e-07
19.799120696605442,1.7157200360111613,0.28672543041677606,4.779144802575e-06,9.264314796873555e-07
22.627910616537267,2.0233820451562137,0.0,2.7795281312e-06,0.0
25.455741261687905,1.4499157303525687,1.2920594357242137,1.535325046108e-06,8.575829515697491e-07
28.3897252797557,2.0420300316061764,0.0,1.8267664927e-06,0.0
31.113140497163734,1.1301902752063564,1.2392853716592263,1.9913280340025e-06,7.386246760840465e-07
33.94082469480723,1.2032268777484645,1.841332089372381,1.8724687461918186e-06,1.0596418105007483e-06
