z,r_v_mean_uv_ratio
-3.0,1.0146320341949953
-2.8999999999999995,1.0098568622769133
-2.7999999999999994,1.0121097597747832
-2.7000000000000006,1.000126215453183
-2.6000000000000005,0.9809060047093368
-2.5,0.9969049373815673
-2.3999999999999995,0.9882797045054195
-2.2999999999999994,0.9971844817038008
-2.2000000000000006,1.0098525275609136
-2.1000000000000005,0.993844280553838
-2.0,0.9982551566892434
-1.9,0.9956855595739478
-1.7999999999999996,1.0138732179784458
-1.7,0.9846648855981108
-1.6000000000000003,1.0142209136808025
-1.5,0.9876153377663576
-1.3999999999999997,0.9984233085904911
-1.3000000000000005,1.0004439803862657
-1.1999999999999995,1.0104894002822402
-1.1000000000000003,0.9876605543302912
-1.0,0.9792099468570853
-0.8999999999999998,0.9848287150272707
-0.8000000000000002,0.9841812749027519
-0.6999999999999998,0.98116722648547
-0.5999999999999999,0.9959312098390981
-0.5,0.9992442965572618
-0.4000000000000001,0.9665163702524213
-0.2999999999999999,0.9721220077369862
-0.2,0.9869891671447125
-0.1,0.9944354060953632
0.0,0.9782762480963816
0.1,0.9800172694474221
0.2,0.9462985379590038
0.2999999999999999,0.9690949143504397
0.4000000000000001,0.9548211009113423
0.5,0.9489180577857889
0.5999999999999999,0.9649608927250728
0.6999999999999998,0.956914266959863
0.8000000000000002,0.9337486478214494
0.8999999999999998,0.9008079979497856
1.0,0.8464264849012741
1.1000000000000003,0.8170523557354302
1.1999999999999995,0.8104343864220792
1.3000000000000005,0.8229222272563803
1.3999999999999997,0.7822060754909635
1.5,0.7710597028965395
1.6000000000000003,0.7726667480369381
1.7,0.7558846724933085
1.7999999999999996,0.7351129801644678
1.9,0.729401358444954
2.0,0.7014196039047246
2.1000000000000005,0.6850609264958616
2.2000000000000006,0.6893686878045795
2.2999999999999994,0.6820934150529344
2.3999999999999995,0.6785377454314006
2.5,0.6496225615200787
2.6000000000000005,0.6323779631504242
2.7000000000000006,0.6393058687803841
2.7999999999999994,0.6213176175373845
2.8999999999999995,0.6018969608416785
