z,r_v_mean_uv
-3.099999999999999,0.006875444702460001
-3.0,0.008048151804259999
-2.900000000000001,0.010247807905976666
-2.799999999999999,0.00696320734405
-2.700000000000001,0.008014922858739998
-2.599999999999999,0.0060420518514400015
-2.5,0.008960382036349999
-2.4000000000000004,0.00961652227481
-2.2999999999999994,0.006520833813663333
-2.2000000000000006,0.00957830232909
-2.1000000000000005,0.008028316234036664
-2.0,0.006795402477746667
-1.8999999999999995,0.0047958874057200005
-1.7999999999999996,0.009816118880666667
-1.7000000000000004,0.007984798363243333
-1.6000000000000005,0.005622620147243334
-1.5,0.009009148375476669
-1.3999999999999995,0.00861336596122
-1.2999999999999996,0.011377866145583336
-1.2000000000000002,0.007467580302273334
-1.1000000000000003,0.005169370724070001
-1.0,0.009382784149643332
-0.8999999999999998,0.010124559427890001
-0.8000000000000003,0.00734976817184
-0.6999999999999997,0.00854480629956
-0.6000000000000001,0.002764203643753
-0.5,0.004650369089809999
-0.40000000000000013,0.00789803804579
-0.30000000000000004,0.003661766164356667
-0.20000000000000007,0.0018030246869586671
-0.10000000000000003,0.007809214711926669
0.0,0.003787885338726667
0.10000000000000003,0.0020390499048510004
0.20000000000000007,0.00671268440833
0.30000000000000004,0.006406355993843333
0.40000000000000013,0.002271538801502
0.5,0.004075762875346667
0.6000000000000001,0.002785190156283333
0.6999999999999997,0.005546620651663333
0.8000000000000003,0.008712476962103333
0.8999999999999998,0.004476361029996667
1.0,0.004793058409426666
1.1000000000000003,0.002272977595033333
1.2000000000000002,0.00405766762783
1.2999999999999996,0.00481872625506
1.3999999999999995,0.004333874237256667
1.5,0.005848878344606666
1.6000000000000005,0.0018996592553643331
1.7000000000000004,0.005141345689933334
1.7999999999999996,0.007949877467436667
1.8999999999999995,0.0048173761868466666
2.0,0.007811524183046667
2.1000000000000005,0.0026422178981820002
2.2000000000000006,0.004760402054036667
2.2999999999999994,0.00463482582684
2.4000000000000004,0.006143656842513332
2.5,0.006269463555719999
2.599999999999999,0.0030908805922123333
2.700000000000001,0.004029508156773333
2.799999999999999,0.004316979144526666
2.900000000000001,0.0021693960072766668
