z,r_v_mean_uv_ratio
-1.0,0.9998149938437836
-0.8999999999999998,1.0078698142825784
-0.8000000000000003,0.9934238833178967
-0.6999999999999997,0.9971333356729543
-0.6000000000000001,1.006498918656599
-0.5,1.0245534232452036
-0.4000000000000001,0.9935353109707687
-0.3,0.9894700792396784
-0.2,0.9824179574787434
-0.1,1.0052822832917936
0.0,0.9516737267082199
0.1,0.9301839096322221
0.2,0.9550029150410143
0.3,0.966168873301033
0.4000000000000001,0.9611854084009915
0.5,0.9499872005137909
0.6000000000000001,0.9310499950249994
0.6999999999999997,0.9347857866402043
0.8000000000000003,0.9024347464641517
0.8999999999999998,0.871963429827618
1.0,0.7911639819519299
1.1000000000000003,0.7824368022199358
1.2000000000000002,0.7834552051160548
1.2999999999999996,0.7580816330743688
1.3999999999999997,0.7473711652681568
1.5,0.7784589501168843
1.6000000000000003,0.7358389067402943
1.7000000000000004,0.7708505693297064
1.7999999999999996,0.7254992095198178
1.8999999999999997,0.7312391467244806
2.0,0.6926582461679017
2.1000000000000005,0.6801071961963173
2.2000000000000006,0.6914836062176181
2.2999999999999994,0.6825664036317681
2.4000000000000004,0.6497555328535531
2.5,0.6559515273172697
2.599999999999999,0.6269828687310779
2.700000000000001,0.6707131249049211
2.799999999999999,0.6485630055945386
2.900000000000001,0.6219302179360636
