z,theta_mean_ratio
-5.0,-1.004782342399709
-4.900000000000001,-1.0691468812366183
-4.800000000000001,-0.8969265136454034
-4.7,-1.0662191491375368
-4.599999999999999,-1.0649725640996257
-4.5,-1.0183800179934006
-4.400000000000001,-1.0601469617458377
-4.299999999999999,-1.0078355212782555
-4.200000000000001,-0.9669243016632639
-4.099999999999999,-0.8996661021973664
-4.0,-0.9531713496488878
-3.900000000000001,-0.9412057676383802
-3.799999999999999,-0.9914883992720438
-3.700000000000001,-1.0066532683749045
-3.599999999999999,-1.0524808596687676
-3.5,-1.0762627740547204
-3.400000000000001,-1.0903335379180223
-3.299999999999999,-1.0814348059646388
-3.200000000000001,-1.007722036778385
-3.099999999999999,-0.9578525958000147
-3.0,-1.0229086474086986
-2.900000000000001,-1.0555783025475503
-2.799999999999999,-1.1611498980483976
-2.700000000000001,-1.1130889499540595
-2.599999999999999,-1.057542444569346
-2.5,-1.1641706230801359
-2.4000000000000004,-1.2963823377564632
-2.2999999999999994,-1.2352213303611508
-2.2000000000000006,-1.2653351592164137
-2.1000000000000005,-1.2797001323840158
-2.0,-1.3101450563636734
-1.8999999999999997,-1.243799225664664
-1.7999999999999996,-1.4148001223885347
-1.7000000000000004,-1.4707203439113712
-1.6000000000000003,-1.4888396941677915
-1.5,-1.5226202848843389
-1.3999999999999997,-1.5622364212412758
-1.2999999999999996,-1.628597454517825
-1.2000000000000002,-1.7169808385396865
-1.1000000000000003,-1.7263757035344107
-1.0,-1.8133180710348178
-0.8999999999999998,-1.9092159393632813
-0.8000000000000003,-1.6953083655843393
-0.6999999999999997,-1.9258848107763527
-0.6000000000000001,-2.0039820965717903
-0.5,-2.0249566192317534
-0.4000000000000001,-1.8670108535234815
-0.3,-1.989316504486459
-0.2,-2.1252308932313926
-0.1,-2.129659270711793
0.0,-2.3112266972675917
0.1,-2.2508487884123443
0.2,-2.1602404399720556
0.3,-2.2761474001353332
0.4000000000000001,-2.351734477588897
0.5,-2.269573722282431
0.6000000000000001,-2.3827807357576734
0.6999999999999997,-2.5264957959361465
0.8000000000000003,-2.567905438107211
0.8999999999999998,-2.300161169328511
1.0,-2.3151936520960024
1.1000000000000003,-2.38013140184879
1.2000000000000002,-2.54040635445912
1.2999999999999996,-2.413735991334157
1.3999999999999997,-2.7418878236695523
1.5,-2.4244936185077575
1.6000000000000003,-2.6619604099323344
1.7000000000000004,-2.4426547733745787
1.7999999999999996,-2.244096675275063
1.8999999999999997,-2.688912666624206
2.0,-2.5784000015436193
2.1000000000000005,-2.49899195577452
2.2000000000000006,-2.52461693145298
2.2999999999999994,-2.463460891019487
2.4000000000000004,-2.6428556748243586
2.5,-2.4677544176967205
2.599999999999999,-2.6159453799470147
2.700000000000001,-2.752486812423591
2.799999999999999,-2.5413239259913594
2.900000000000001,-2.645504390075318
3.0,-2.4289619243554768
3.099999999999999,-2.598335007343285
3.200000000000001,-2.696657076269403
3.299999999999999,-2.4346954432282404
3.400000000000001,-2.6464406327228036
3.5,-2.5893820572020325
3.599999999999999,-2.80838495518382
3.700000000000001,-2.7100749955987924
3.799999999999999,-2.6595516147754648
3.900000000000001,-2.8910295871396747
