z,thermal_diffusivity
-6.0,8.084892738112779e-08
-5.0,9.48571329214883e-08
-4.0,1.0024599700218684e-07
-3.0,9.994453004563628e-08
-2.0,1.0606513105769274e-07
-1.0,8.179822960241777e-08
0.0,8.118207485243044e-08
1.0,4.943713166045025e-08
