z,thermal_diffusivity
-3.0,1.1968432414886894e-07
-2.0,1.252464954740578e-07
-1.0,1.1834341733507414e-07
0.0,1.1409019867845584e-07
1.0,1.0123533407768336e-07
2.0,7.793340615356905e-08
3.0,8.217716060769179e-08
