z,r_v_mean_uv_ratio
-6.0,0.939498799769838
-5.900000000000002,0.9643627649778617
-5.800000000000002,1.0268993819662418
-5.699999999999998,1.0093080959469687
-5.599999999999998,1.0096771364587815
-5.5,1.0184477796816007
-5.400000000000002,0.9464616541408115
-5.300000000000002,0.9869908408407215
-5.199999999999998,1.031258411097958
-5.099999999999999,0.9232620803358458
-5.0,0.9920109847068821
-4.900000000000001,1.0024698336888083
-4.800000000000001,1.004290140790769
-4.7,1.0359585709994337
-4.599999999999999,1.0621956113901776
-4.5,0.9872919372376694
-4.400000000000001,1.0212606784086404
-4.299999999999999,0.9678841163477946
-4.200000000000001,1.0330600656670144
-4.099999999999999,1.0374111155461845
-4.0,1.008222717546607
-3.900000000000001,0.9889518160847871
-3.799999999999999,1.0537036163156832
-3.700000000000001,1.0077967793057938
-3.599999999999999,1.040614336741311
-3.5,0.980476102699102
-3.400000000000001,0.9874392185349095
-3.299999999999999,1.0199957902984034
-3.200000000000001,1.0053920270665488
-3.099999999999999,1.0398039987866916
-3.0,0.9893974556860895
-2.900000000000001,1.019810302006319
-2.799999999999999,1.0151349994356373
-2.700000000000001,0.9467018220656355
-2.599999999999999,0.961179177565363
-2.5,0.9742937698275043
-2.4000000000000004,0.9442565771664698
-2.2999999999999994,0.9079499144213269
-2.2000000000000006,0.9778211908389605
-2.1000000000000005,0.9334975924604819
-2.0,0.8638139401619601
-1.8999999999999997,0.8711701488677444
-1.7999999999999996,0.8038337811355327
-1.7000000000000004,0.8219622478466437
-1.6000000000000003,0.815500121074062
-1.5,0.7048393935381683
-1.3999999999999997,0.7723274978410628
-1.2999999999999996,0.7600769566072831
-1.2000000000000002,0.7426354931342175
-1.1000000000000003,0.7774764687684322
-1.0,0.6230080004831099
-0.8999999999999998,0.6510437898743165
-0.8000000000000003,0.5883778405133379
-0.6999999999999997,0.6037162342614396
-0.6000000000000001,0.640415246586312
-0.5,0.5703837549069263
-0.4000000000000001,0.5514238945306441
-0.3,0.5692426363140737
-0.2,0.5321077146097716
-0.1,0.5435184011123719
0.0,0.5462294439101086
0.1,0.5179759436725131
0.2,0.4702946494317863
0.3,0.5149830107948339
0.4000000000000001,0.4557416276189358
0.5,0.4824763402159636
0.6000000000000001,0.4339333643425383
0.6999999999999997,0.47761302424952534
0.8000000000000003,0.4956589647279638
0.8999999999999998,0.4481279821921093
