z,r_v_mean_uv_ratio
-3.0,1.0139292769987571
-2.8999999999999995,1.009157412473223
-2.7999999999999994,1.0114087495631068
-2.7000000000000006,0.9994335053165334
-2.6000000000000005,0.9802266069272733
-2.5,0.9962144583752878
-2.3999999999999995,0.9875951995313691
-2.2999999999999994,0.9964938090787734
-2.2000000000000006,1.0091530807595461
-2.1000000000000005,0.9931559214280062
-2.0,0.9975637424903985
-1.9,0.9949959251364384
-1.7999999999999996,1.0131709863555571
-1.7,0.9839828843297534
-1.6000000000000003,1.0135184412359717
-1.5,0.9869312929478031
-1.3999999999999997,0.9977317779258197
-1.3000000000000005,0.9997510501584048
-1.1999999999999995,1.009789512368358
-1.1000000000000003,0.9869764781937174
-1.0,0.9785317238032195
-0.8999999999999998,0.9841466002869288
-0.8000000000000002,0.9834996085941482
-0.6999999999999998,0.9804876477752701
-0.5999999999999999,0.9952414052586347
-0.5,0.9985521972576742
-0.4000000000000001,0.9658469390580714
-0.2999999999999999,0.9714486939507714
-0.2,0.9863055560261552
-0.1,0.9937466375425529
0.0,0.9775986717434882
0.1,0.9793384872235903
0.2,0.9456431100945879
0.2999999999999999,0.9684236971978708
0.4000000000000001,0.9541597701262189
0.5,0.9482608155824335
0.5999999999999999,0.9642925388897939
0.6999999999999998,0.9562514864003842
0.8000000000000002,0.9331019122960381
0.8999999999999998,0.9001840778667869
1.0,0.8458402306895954
1.1000000000000003,0.8164864467129027
1.1999999999999995,0.8098730611554383
1.3000000000000005,0.8223522526274917
1.3999999999999997,0.7816643017937349
1.5,0.7705256494301814
1.6000000000000003,0.7721315814946086
1.7,0.7553611295977382
1.7999999999999996,0.7346038242148741
1.9,0.728896158494314
2.0,0.7009337847529395
2.1000000000000005,0.6845864377356693
2.2000000000000006,0.6888912153910456
2.2999999999999994,0.6816209816585803
2.3999999999999995,0.6780677747746003
2.5,0.6491726181765205
2.6000000000000005,0.6319399638074417
2.7000000000000006,0.6388630710125814
2.7999999999999994,0.6208872788410309
2.8999999999999995,0.6014800733333308
