z,r_v_std_uv_ratio
-3.0,1.335174758969854
-2.8999999999999995,1.0834109771226261
-2.7999999999999994,0.7817610529048167
-2.7000000000000006,1.053748572935298
-2.6000000000000005,0.7404072700771515
-2.5,1.8135107042584024
-2.3999999999999995,0.31041120875606804
-2.2999999999999994,1.1513332559849614
-2.2000000000000006,0.5823596949502898
-2.1000000000000005,0.9883905554206913
-2.0,0.8639082205034013
-1.9,1.1179783114134423
-1.7999999999999996,0.7212549711836752
-1.7,1.7388421886203624
-1.6000000000000003,0.7175082568989576
-1.5,0.23227660750334317
-1.3999999999999997,2.8111075318565315
-1.3000000000000005,0.3945669628803089
-1.1999999999999995,0.5128111012119476
-1.1000000000000003,0.8487571898433764
-1.0,1.2816447974155616
-0.8999999999999998,0.9516607658152311
-0.8000000000000002,1.3417227080579806
-0.6999999999999998,0.21326552900510914
-0.5999999999999999,1.7552012618131427
-0.5,0.4956321719202729
-0.4000000000000001,0.8877130498036168
-0.2999999999999999,0.7658541460172106
-0.2,2.4846230132353937
-0.1,1.059243952677265
0.0,1.6530239290186506
0.1,2.9231672866866365
0.2,0.48847060167529466
0.2999999999999999,0.5195357735397224
0.4000000000000001,0.5250273971096392
0.5,0.8915250526763147
0.5999999999999999,1.5720921896030824
0.6999999999999998,0.4152169512876905
0.8000000000000002,0.8808487137432649
0.8999999999999998,1.227209381044241
1.0,0.2076168515074916
1.1000000000000003,1.5536256044913161
1.1999999999999995,1.208444478496513
1.3000000000000005,0.7312015560873352
1.3999999999999997,1.0538906398111647
1.5,0.9945994866790028
1.6000000000000003,0.9339774636891235
1.7,0.7863254305353753
1.7999999999999996,0.6339841574593625
1.9,1.5176744593414897
2.0,1.8846508659433723
2.1000000000000005,0.4002338678116332
2.2000000000000006,0.25557428076905697
2.2999999999999994,0.3762184414721558
2.3999999999999995,0.9343551296188924
2.5,1.4191237739397118
2.6000000000000005,0.7527353397544885
2.7000000000000006,2.0606797527625993
2.7999999999999994,0.8104415121827316
2.8999999999999995,0.6523040077758508
