z,theta_mean_ratio
-3.0,1.0001559975036052
-2.8999999999999995,1.0035404798928182
-2.7999999999999994,1.0013006160733664
-2.7000000000000006,1.0025452504627448
-2.6000000000000005,0.9965812917645444
-2.5,1.002163301328316
-2.3999999999999995,0.9971420773150321
-2.2999999999999994,0.9965709856595714
-2.2000000000000006,1.0035122076338197
-2.1000000000000005,0.9954083785069986
-2.0,0.9967240927019007
-1.9,1.0008399315518959
-1.7999999999999996,1.000546010337631
-1.7,0.9943379970580188
-1.6000000000000003,0.9979893348131161
-1.5,1.0038615880520962
-1.3999999999999997,1.0026331348663085
-1.3000000000000005,0.9972660330757138
-1.1999999999999995,0.9918412790096545
-1.1000000000000003,1.001233505325271
-1.0,0.9979268254842971
-0.8999999999999998,0.9978897719515138
-0.8000000000000002,1.00029949359812
-0.6999999999999998,0.9985165470518178
-0.5999999999999999,0.9898171526579832
-0.5,0.9969648016144557
-0.4000000000000001,0.9909852223147433
-0.2999999999999999,0.9973995235451482
-0.2,0.9959051119538628
-0.1,0.9990352785201412
0.0,1.0011987076533717
0.1,0.990632155372376
0.2,0.9883543590063099
0.2999999999999999,0.9928293910403199
0.4000000000000001,0.9937061900003915
0.5,0.9883314999087575
0.5999999999999999,0.9923674597417068
0.6999999999999998,0.9904089327536335
0.8000000000000002,0.9829635056458842
0.8999999999999998,0.9733659421383809
1.0,0.9482193870212982
1.1000000000000003,0.9480873227122657
1.1999999999999995,0.9446231900467033
1.3000000000000005,0.9412384251241531
1.3999999999999997,0.9424064768314183
1.5,0.9443797992233257
1.6000000000000003,0.9359256433986134
1.7,0.9337210840193509
1.7999999999999996,0.9259511402969751
1.9,0.927294086285644
2.0,0.9225537640746446
2.1000000000000005,0.9145769359062861
2.2000000000000006,0.9143051158459226
2.2999999999999994,0.9069172647628204
2.3999999999999995,0.9071856360013111
2.5,0.9003959065524517
2.6000000000000005,0.906621222236873
2.7000000000000006,0.8965678716248382
2.7999999999999994,0.9016945649945272
2.8999999999999995,0.8911793100125299
