z,r_v_std_uv
-2.0,0.16380586666855498
-1.8999999999999995,0.06086078662380661
-1.7999999999999996,0.09631738764202842
-1.7000000000000004,0.26915170271462857
-1.6000000000000005,0.30928585739004794
-1.5,0.12119938009953815
-1.3999999999999995,0.14205312394832542
-1.2999999999999996,0.21146107015728466
-1.2000000000000002,0.26545805555701835
-1.1000000000000003,0.2683123874596494
-1.0,0.2445108417086008
-0.8999999999999998,0.06536368412290504
-0.8000000000000003,0.31570646511354294
-0.6999999999999997,0.04810292446393872
-0.6000000000000001,0.1292094956177143
-0.5,0.12006083818742905
-0.40000000000000013,0.10579799208470614
-0.30000000000000004,0.20854234540951858
-0.20000000000000007,0.17061368336194835
-0.10000000000000003,0.305806167344098
0.0,0.1016379466394124
0.10000000000000003,0.06811704783777435
0.20000000000000007,0.2831736551548583
0.30000000000000004,0.22178091603680672
0.40000000000000013,0.1638452647711184
0.5,0.054356589358103814
0.6000000000000001,0.1847448481444625
0.6999999999999997,0.1604054215076736
0.8000000000000003,0.1145919222084453
0.8999999999999998,0.21143637839415713
1.0,0.09575007009045372
1.1000000000000003,0.32008056123961703
1.2000000000000002,0.155125832082773
1.2999999999999996,0.048602915231583506
1.3999999999999995,0.173551921663954
1.5,0.2079334876535175
1.6000000000000005,0.05186746997626198
1.7000000000000004,0.20576564788332155
1.7999999999999996,0.40636466921041214
1.8999999999999995,0.2813220741494205
2.0,0.3216746270128041
2.1000000000000005,0.2510798188247848
2.2000000000000006,0.06296830593507581
2.2999999999999994,0.12532280615573108
2.4000000000000004,0.20481103630978678
2.5,0.28376509601380606
2.599999999999999,0.12796139749100854
2.700000000000001,0.26723497808215374
2.799999999999999,0.4426599265221512
2.900000000000001,0.07277740193925697
