z,theta_mean
-3.0,165.5963144933333
-2.900000000000001,165.54567871066666
-2.799999999999999,165.243862406
-2.700000000000001,165.16610768600003
-2.599999999999999,164.64774169966668
-2.5,165.10436401400003
-2.4000000000000004,164.5363637296667
-2.2999999999999994,165.19597676466668
-2.2000000000000006,165.17239532399995
-2.1000000000000005,164.88034413666668
-2.0,165.04610697466669
-1.8999999999999995,164.74988454200002
-1.7999999999999996,165.22097625666672
-1.7000000000000004,164.80710601833331
-1.6000000000000005,165.22026672366667
-1.5,165.1270792646666
-1.3999999999999995,165.287695314
-1.2999999999999996,164.70855560233335
-1.2000000000000002,164.72401224833337
-1.1000000000000003,164.59524841299998
-1.0,165.092384338
-0.8999999999999998,165.49946085633334
-0.8000000000000003,164.928667196
-0.6999999999999997,164.99702707933332
-0.6000000000000001,164.53238779733337
-0.5,164.604985047
-0.40000000000000013,163.44242401133334
-0.30000000000000004,164.41787770566668
-0.20000000000000007,163.98704071033336
-0.10000000000000003,162.98813171399996
0.0,161.91221465966663
0.10000000000000003,161.4320083613333
0.20000000000000007,161.13992258666664
0.30000000000000004,159.67016855900002
0.40000000000000013,158.3841191616667
0.5,156.99547170000002
0.6000000000000001,156.92705027266666
0.6999999999999997,157.36612447166667
0.8000000000000003,155.70337219233335
0.8999999999999998,155.54387054433337
1.0,148.95330657999997
1.1000000000000003,148.62549438499997
1.2000000000000002,150.23841654499995
1.2999999999999996,148.11620534266666
1.3999999999999995,147.80756378133336
1.5,146.70497182166667
1.6000000000000005,146.703409322
1.7000000000000004,148.08764902733336
1.7999999999999996,148.24131368
1.8999999999999995,147.00571441633332
