z,theta_mean
-3.0,170.14274597099998
-2.8999999999999995,170.71850128199998
-2.7999999999999994,170.33746414199996
-2.7000000000000006,170.54919662499998
-2.6000000000000005,169.534630585
-2.5,170.4842208865
-2.3999999999999995,169.6300292965
-2.2999999999999994,169.53287734949998
-2.2000000000000006,170.71369171249998
-2.1000000000000005,169.335099029
-2.0,169.55892333900005
-1.8999999999999997,170.25909423800002
-1.7999999999999996,170.20909347549997
-1.7,169.15300979550003
-1.6000000000000003,169.7741615295
-1.5,170.7731269845
-1.3999999999999997,170.56414718650004
-1.3000000000000003,169.65111618050003
-1.1999999999999997,168.72827758800003
-1.1000000000000003,170.326047516
-1.0,169.7635276795
-0.8999999999999998,169.757224273
-0.8000000000000002,170.1671569825
-0.6999999999999998,169.86384887650001
-0.5999999999999999,168.383940888
-0.5,169.59987182650002
-0.4000000000000001,168.582648469
-0.29999999999999993,169.67382507300002
-0.20000000000000004,169.4196014395
-0.10000000000000002,169.95209350700003
0.0,170.32012786800001
0.10000000000000002,168.52258605950001
0.20000000000000004,168.13509597850003
0.29999999999999993,168.89637146
0.4000000000000001,169.04552917450002
0.5,168.1312072755
0.5999999999999999,168.817789459
0.6999999999999998,168.48461227400003
0.8000000000000002,167.2180244455
0.8999999999999998,165.585323333
1.0,161.30748672550004
1.1000000000000003,161.285020446
1.1999999999999997,160.69571533200002
1.3000000000000003,160.11991195750002
1.3999999999999997,160.31861648499998
1.5,160.654310608
1.6000000000000003,159.21612167499998
1.7,158.8410903925
1.7999999999999996,157.51929702799998
1.8999999999999997,157.74775390749997
2.0,156.94134826700002
2.1000000000000005,155.58436050499998
2.2000000000000006,155.53811950699998
2.2999999999999994,154.2813262935
2.3999999999999995,154.326980591
2.5,153.17193756199998
2.6000000000000005,154.2309646615
2.7000000000000006,152.520726775
2.7999999999999994,153.39286041200003
2.8999999999999995,151.6040451055
